TOTAL  AVES 2000-2023,LINEA,CIUDAD,DEPARTAMENTO,PRECIO PROMEDIO 2000-2023
8200,HY LINE BROWN,TULUA,VALLE DEL CAUCA,3500.0
2000,HY LINE BROWN,DOS QUEBRADAS,RISARALDA,1450.0
21500,HY LINE BROWN,BUGA,VALLE DEL CAUCA,2625.0
2000,HY LINE BROWN,RIOFRIO,VALLE DEL CAUCA,1450.0
1300,HY LINE BROWN,LA CUMBRE,VALLE DEL CAUCA,1450.0
108900,HY LINE BROWN,PALMIRA,VALLE DEL CAUCA,2625.0
1700,HY LINE BROWN,APIA,RISARALDA,1450.0
1100,HY LINE BROWN,LA DORADA,CALDAS,1450.0
1200,HY LINE W-36,LA DORADA,CALDAS,1450.0
8500,HY LINE BROWN,CARTAGO,VALLE DEL CAUCA,1450.0
600,HY LINE BROWN,SILVIA,CAUCA,520.0
13500,HY LINE BROWN,CALI,VALLE DEL CAUCA,2625.0
35500,HY LINE W-36,MANIZALES,CALDAS,2625.0
11500,HY LINE BROWN,CARTAGO,VALLE DEL CAUCA,3500.0
3000,HY LINE W-36,MANIZALEZ,CALDAS,3500.0
9550,HY LINE BROWN,PEREIRA,RISARALDA,3500.0
1000,HY LINE BROWN,CALDONO,CAUCA,3500.0
1700,HY LINE W-80,ARMENIA,QUINDIO,3500.0
19000,HY LINE BROWN,TULUA,VALLE DEL CAUCA,3500.0
2500,HY LINE BROWN,ARMENIA,QUINDIO,1450.0
49300,HY LINE BROWN,PEREIRA,RISARALDA,1450.0
517000,HY LINE W-80,ROLDANILLO,VALLE DEL CAUCA,1450.0
20700,HY LINE BROWN,CALI,VALLE DEL CAUCA,2625.0
9500,HY LINE BROWN TIR,IBAGUE,TOLIMA,2625.0
800,HY LINE BROWN,CARTAGENA,BOLIVAR,1450.0
1000,HY LINE BROWN,PIENDAMO,CAUCA,1450.0
1000,HY LINE BROWN,POPAYAN,CAUCA,1450.0
3000,HY LINE BROWN,POPAYAN,CAUCA,1450.0
11800,HY LINE BROWN,PALMIRA,VALLE DEL CAUCA,2625.0
32400,HY LINE BROWN TIR,PEREIRA,RISARALDA,2625.0
31900,HY LINE BROWN TIR,PEREIRA,RISARALDA,2625.0
200,HY LINE BROWN,CARTAGO,VALLE DEL CAUCA,1450.0
58200,HY LINE BROWN,PEREIRA,RISARALDA,2625.0
46800,HY LINE W-36,PEREIRA,RISARALDA,2625.0
2000,HY LINE W-36,SANTANDER DE QUILICHAO,CAUCA,1450.0
700,HY LINE BROWN,MANZANARES,CALDAS,1450.0
17888,HY LINE BROWN,MANIZALEZ,CALDAS,2625.0
1750,HY LINE BROWN,MANIZALES,CALDAS,1450.0
